Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company,EMP_Sat_OnPrem_mean,EMP_Sat_Remote_mean,EMP_Engagement_mean,Emp_Work_Status_mean,Emp_Competitive_mean,Emp_Collaborative_mean
Sales,Level 1,0,3,6,0.4,0.63,3,201,2,1,0,high,36,2,2,2,2,3340,79,6,0,1.8,4.2,4.2,2.0,2.6,2.0
Operations,Manager,1,3,6,0.8,0.72,3,169,2,1,0,medium,10,4,3,2,4,4038,80,6,0,3.5,4.2,4.2,2.2,3.2,3.4
Operations,Level 1,0,3,6,0.8,0.91,6,287,4,0,0,low,8,1,1,1,2,1465,88,4,1,3.5,4.2,1.8,3.0,1.6,1.6
IT,Level 2-4,1,3,6,0.8,0.82,4,212,2,0,0,medium,10,4,2,4,4,4552,77,2,0,3.5,4.2,4.2,4.2,3.8,3.4
Operations,Level 2-4,1,3,6,0.8,0.79,5,273,4,1,0,medium,2,3,4,3,3,4186,79,8,0,3.5,4.2,4.2,4.0,3.0,2.8
Sales,Level 1,0,3,6,0.8,0.96,2,269,2,0,0,low,3,4,4,3,2,5976,78,3,0,3.5,4.6,4.2,2.2,2.8,2.2
Human Resources,Level 2-4,1,3,6,0.4,0.56,2,157,3,0,0,low,18,1,2,1,2,1861,63,10,1,3.8,2.4,1.8,1.8,2.8,3.4
Human Resources,Senior Director,0,3,6,0.8,0.75,5,229,2,1,0,medium,10,2,3,4,3,5001,79,4,0,3.5,4.2,4.2,2.0,2.6,3.4
Operations,Level 1,0,3,6,0.8,0.84,3,203,3,1,0,medium,4,4,2,4,4,4965,78,3,0,3.5,4.2,4.2,1.8,3.0,2.8
Human Resources,Level 2-4,1,3,6,0.8,0.89,3,189,3,0,0,low,3,4,3,2,3,5866,74,9,0,3.5,4.2,4.2,2.0,3.0,1.8
IT,Level 1,0,3,6,0.4,0.55,4,200,3,1,0,low,29,2,2,2,2,2757,87,7,0,3.8,2.4,4.2,3.0,2.4,2.4
Operations,Level 2-4,1,3,6,0.4,0.58,3,251,2,0,0,high,23,1,2,1,2,2426,77,7,0,3.8,2.4,4.2,4.5,2.6,2.6
Finance,Level 2-4,0,3,6,0.5,0.69,5,157,4,0,0,low,1,2,1,2,2,1306,85,8,0,1.8,4.2,4.2,2.8,2.6,2.6
Operations,Level 1,0,3,6,0.5,0.68,3,179,3,0,0,medium,41,1,2,2,1,1892,64,7,1,1.8,4.2,1.8,3.8,2.6,2.4
Sales,Manager,0,3,6,0.4,0.58,2,181,4,0,0,medium,13,2,2,1,1,2309,89,7,0,3.8,2.4,4.2,4.0,2.0,1.8
Warehouse,Level 1,1,3,6,0.4,0.61,2,275,2,0,0,low,41,2,1,2,2,2546,75,6,0,3.8,4.2,4.2,4.8,2.6,2.4
Sales,Level 1,0,3,6,0.8,0.82,4,184,8,0,0,low,4,3,2,2,2,4686,77,3,0,3.5,4.2,4.2,3.5,3.8,2.0
Finance,Level 1,0,3,6,0.8,0.91,4,253,3,0,0,low,1,4,4,2,2,5402,78,1,0,3.5,4.2,4.2,3.0,3.2,2.2
IT,Level 2-4,0,3,6,0.8,0.9,3,176,2,1,0,medium,1,3,4,2,4,5292,73,4,0,3.5,4.2,4.2,3.8,3.0,2.2
Warehouse,Manager,0,3,6,0.8,0.74,3,164,3,0,0,medium,2,4,3,3,4,5488,75,4,0,3.5,4.2,4.2,2.0,3.6,2.8
Finance,Level 1,1,3,6,0.4,0.6,3,193,3,0,0,low,47,2,2,2,2,3523,86,8,0,3.8,4.2,4.2,3.0,2.4,3.0
Warehouse,Senior Manager,0,3,6,0.8,0.91,7,297,4,0,0,low,7,1,1,2,2,1383,86,8,1,3.5,4.2,1.8,2.0,2.2,2.8
Operations,Level 2-4,1,3,6,0.4,0.53,4,181,2,0,0,low,23,1,1,2,2,3518,85,7,0,3.8,2.4,4.2,2.2,2.8,3.2
Finance,Manager,0,3,6,0.4,0.55,2,148,3,0,0,low,47,2,2,1,2,1574,64,8,1,3.8,2.4,1.8,3.8,1.4,2.2
Finance,Level 2-4,1,3,6,0.5,0.67,6,195,2,0,0,medium,21,2,1,2,1,3869,89,9,0,1.8,4.2,4.2,2.2,3.2,2.2
Finance,Level 1,1,3,6,0.4,0.53,2,151,3,0,0,low,16,2,1,1,2,1572,66,9,1,3.8,2.4,1.8,2.8,2.6,3.6
Human Resources,Level 2-4,1,3,6,0.4,0.54,4,147,10,0,0,low,41,1,1,1,2,1750,90,10,0,3.8,2.4,4.2,3.5,2.8,1.6
Operations,Manager,0,3,6,0.8,0.83,7,255,5,0,0,medium,10,1,1,2,2,1238,87,8,1,3.5,4.2,1.8,2.5,2.4,2.8
Sales,Level 2-4,0,3,6,0.8,0.95,4,181,3,0,0,medium,9,4,2,2,3,4425,71,7,0,3.5,4.2,4.2,3.0,3.2,1.8
Operations,Manager,0,3,6,0.8,0.84,7,260,4,0,0,low,3,1,2,2,2,1930,90,6,1,3.5,4.2,1.8,4.0,3.4,2.2
Warehouse,Level 1,1,3,6,0.4,0.55,4,250,3,0,0,medium,34,1,2,1,1,3074,78,9,0,3.8,2.4,4.2,1.2,2.8,3.4
Human Resources,Level 2-4,1,3,6,0.8,0.82,6,266,4,0,0,low,5,1,2,2,2,1639,90,8,1,3.5,4.2,1.8,3.0,2.0,2.4
Sales,Level 1,0,3,6,0.8,0.94,6,309,4,0,0,medium,8,2,2,2,1,1930,87,3,1,3.5,4.2,1.8,4.2,3.0,2.6
Finance,Manager,1,3,6,0.4,0.46,2,156,3,1,0,low,7,1,2,1,1,1668,71,9,1,3.8,2.4,1.8,3.5,2.2,2.6
IT,Level 2-4,0,3,6,0.8,0.73,3,108,4,0,0,low,5,3,3,3,3,4787,77,3,0,3.5,4.2,4.2,3.0,3.2,3.4
Operations,Level 2-4,0,3,6,0.4,0.42,4,256,5,0,0,low,22,2,1,1,2,2021,80,6,0,3.8,2.4,4.2,2.2,3.4,3.4
Human Resources,Level 2-4,0,3,6,0.4,0.58,4,249,3,0,0,medium,36,1,1,2,2,3769,80,10,0,3.8,2.4,4.2,3.8,2.6,2.6
Sales,Senior Director,1,3,6,0.8,0.83,3,133,3,0,0,low,9,3,4,3,3,5724,71,1,0,3.5,4.2,4.2,2.0,2.8,2.8
Finance,Level 1,1,3,6,0.8,0.86,2,264,3,0,0,medium,3,2,2,3,3,4320,76,9,0,3.5,4.2,4.2,3.0,2.8,2.2
IT,Manager,0,3,6,0.4,0.5,3,141,3,0,0,medium,29,1,2,1,1,1756,64,10,0,3.8,2.4,4.2,3.0,2.8,2.6
Finance,Level 2-4,1,3,6,0.8,0.74,3,160,3,0,0,medium,1,2,2,4,4,5062,80,1,0,3.5,4.2,4.2,3.0,3.6,3.2
IT,Director,0,3,6,0.4,0.6,3,250,3,1,0,low,49,2,1,2,1,3798,75,6,0,3.8,4.2,4.2,3.5,3.2,3.0
Human Resources,Level 2-4,1,3,6,0.4,0.55,4,153,3,0,0,medium,34,1,2,2,2,1887,88,7,0,3.8,2.4,4.2,3.5,2.2,2.6
Warehouse,Level 1,1,3,6,0.8,0.93,6,279,4,0,0,low,7,1,2,2,2,1090,88,9,1,3.5,4.2,1.8,2.8,2.6,2.0
Sales,Level 2-4,1,3,6,0.4,0.4,2,148,2,1,1,high,34,5,1,5,1,1416,68,7,0,3.8,2.4,4.2,3.2,2.8,3.8
IT,Manager,1,3,6,0.4,0.42,2,248,4,0,0,medium,15,1,1,1,1,2209,77,9,0,3.8,2.4,4.2,4.0,1.8,3.0
Finance,Level 1,1,3,6,0.4,0.55,4,178,2,1,0,low,11,1,1,2,1,1328,88,7,0,3.8,2.4,4.2,2.5,1.6,3.6
Operations,Level 2-4,0,3,6,0.8,0.97,2,271,3,0,0,low,9,3,3,2,3,4185,77,3,0,3.5,4.6,4.2,3.0,3.4,2.8
Finance,Level 2-4,1,3,6,0.8,0.9,2,233,3,0,0,low,9,4,2,2,3,4751,76,9,0,3.5,4.2,4.2,3.2,2.6,3.0
IT,Manager,0,3,6,0.8,0.75,4,244,4,0,0,low,10,2,2,2,2,4118,77,8,0,3.5,4.2,4.2,2.5,2.8,2.6
Sales,Level 2-4,1,3,6,0.8,0.74,3,150,2,0,0,medium,6,2,3,2,2,4170,79,7,0,3.5,4.2,4.2,2.8,3.4,2.6
Warehouse,Level 1,1,3,6,0.4,0.54,5,247,4,0,0,high,15,1,2,1,1,2431,78,7,0,3.8,2.4,4.2,3.2,2.8,2.2
Warehouse,Level 2-4,1,3,6,0.4,0.55,2,172,2,0,0,medium,18,1,2,2,1,1927,63,6,0,3.8,2.4,4.2,2.0,1.8,2.2
Sales,Senior Manager,0,3,6,0.8,0.85,5,173,2,0,0,high,10,4,4,2,2,4741,70,2,0,3.5,4.2,4.2,3.0,3.0,3.2
Finance,Level 2-4,1,3,6,0.8,0.81,5,210,4,0,0,medium,9,4,2,2,4,5081,79,9,0,3.5,4.2,4.2,3.5,3.0,2.2
Operations,Level 1,0,3,6,0.8,1.0,3,278,4,0,0,medium,8,1,2,2,1,1785,85,2,1,0.0,4.6,1.8,2.5,2.4,2.8
Sales,Level 2-4,1,3,6,0.8,0.87,4,139,8,0,0,medium,2,2,4,2,2,5012,77,7,0,3.5,4.2,4.2,2.5,2.2,2.8
Finance,Director,1,3,6,0.8,0.71,5,217,3,0,0,medium,8,3,3,4,3,4949,79,7,0,3.5,4.2,4.2,2.8,3.2,2.2
Finance,Level 2-4,0,3,6,0.8,0.82,4,208,2,0,0,medium,6,4,3,3,4,4983,76,9,0,3.5,4.2,4.2,3.2,3.8,3.6
Human Resources,Level 2-4,0,3,6,0.4,0.57,3,202,3,0,0,low,49,2,2,2,1,2881,77,6,0,3.8,2.4,4.2,3.8,3.6,1.6
IT,Level 1,0,3,6,0.8,0.71,5,273,3,0,0,medium,6,4,2,3,2,4044,79,6,0,3.5,4.2,4.2,2.8,3.4,3.2
IT,Level 2-4,1,3,6,0.4,0.52,3,183,2,0,0,low,33,1,2,1,2,3411,89,10,0,3.8,2.4,4.2,2.5,2.0,3.4
Finance,Senior Director,0,3,6,0.8,0.71,4,199,4,0,0,medium,5,4,3,3,2,4194,75,2,0,3.5,4.2,4.2,2.5,3.4,3.0
Sales,Senior Manager,0,3,6,0.4,0.36,3,167,5,0,0,low,40,2,1,2,2,1180,68,10,0,3.8,2.4,4.2,3.5,1.4,1.6
Human Resources,Manager,0,3,6,0.8,0.74,3,212,3,0,0,low,8,2,2,3,3,5214,75,2,0,3.5,4.2,4.2,2.8,2.6,3.6
Operations,Manager,0,3,6,0.4,0.6,3,262,2,0,0,low,15,1,2,1,2,3287,76,8,0,3.8,4.2,4.2,3.2,2.4,2.0
Warehouse,Level 1,1,3,6,0.8,0.85,3,265,10,1,0,low,10,2,3,2,3,4049,80,2,0,3.5,4.2,4.2,3.8,3.8,2.8
Human Resources,Level 2-4,1,3,6,0.5,0.7,5,195,2,1,0,low,6,1,2,2,1,3936,87,6,0,1.8,4.2,4.2,2.0,2.4,2.4
Sales,Level 2-4,0,3,6,0.8,0.95,3,249,4,0,0,low,7,2,2,2,3,5868,80,6,0,3.5,4.2,4.2,4.0,2.6,3.4
Operations,Level 1,0,3,6,0.4,0.52,5,140,3,0,0,low,51,2,2,2,2,1008,86,7,0,3.8,2.4,4.2,4.0,1.2,2.0
Operations,Level 2-4,1,3,6,0.8,0.72,5,244,2,0,0,low,10,3,2,2,3,5794,78,5,0,3.5,4.2,4.2,4.0,2.6,2.2
Sales,Senior Manager,0,3,6,0.4,0.63,5,226,3,0,0,medium,23,2,2,1,2,2626,76,9,0,1.8,4.2,4.2,3.2,2.0,2.2
IT,Level 2-4,1,3,6,0.8,0.71,3,181,2,0,0,low,6,2,4,2,2,5410,71,1,0,3.5,4.2,4.2,2.8,2.8,3.0
IT,Level 1,1,3,6,0.8,0.89,3,262,2,0,0,low,7,2,2,2,3,5141,79,8,0,3.5,4.2,4.2,3.0,3.0,2.2
Sales,Level 2-4,0,3,6,0.8,0.99,2,188,2,0,0,medium,9,3,4,2,2,4610,73,1,0,3.5,4.6,4.2,3.5,2.8,2.0
Operations,Level 2-4,1,3,6,0.8,0.93,4,258,3,0,0,high,10,4,4,3,3,4958,79,6,0,3.5,4.2,4.2,3.5,3.4,2.8
Operations,Level 2-4,0,3,6,0.4,0.64,3,198,2,1,0,medium,20,1,1,2,2,2266,89,10,0,1.8,4.2,4.2,2.8,1.6,2.6
Operations,Level 2-4,1,3,6,0.4,0.54,2,99,2,0,0,medium,41,1,2,2,1,1346,61,8,0,3.8,2.4,4.2,3.8,2.6,3.4
Operations,Level 2-4,1,3,6,0.5,0.69,4,222,2,0,0,medium,16,2,2,2,2,2518,75,10,0,1.8,4.2,4.2,3.8,1.8,2.2
Finance,Level 2-4,0,3,6,0.8,0.75,5,270,3,1,0,medium,5,3,4,3,2,5950,75,8,0,3.5,4.2,4.2,3.2,3.4,2.6
IT,Level 2-4,0,3,6,0.8,0.83,4,156,2,0,0,medium,5,4,3,3,3,4467,76,6,0,3.5,4.2,4.2,2.5,3.0,2.6
IT,Level 2-4,0,3,6,0.8,0.81,5,180,3,1,0,medium,1,4,2,2,2,4655,78,7,0,3.5,4.2,4.2,2.8,3.2,3.4
Operations,Manager,1,3,6,0.4,0.42,5,252,5,0,0,low,60,1,1,2,1,3183,77,10,0,3.8,2.4,4.2,3.2,2.4,2.4
Finance,Level 2-4,1,3,6,0.4,0.61,3,175,3,0,0,high,45,1,1,1,1,1212,71,7,0,3.8,4.2,4.2,3.8,2.2,2.8
Human Resources,Director,0,3,6,0.4,0.51,2,284,2,0,0,low,18,2,1,2,1,3356,76,6,0,3.8,2.4,4.2,4.0,1.6,2.4
Finance,Level 2-4,1,3,6,0.8,0.9,6,155,2,0,0,medium,1,4,3,2,4,4182,76,7,0,3.5,4.2,4.2,3.2,2.4,2.2
Finance,Level 1,1,3,6,0.4,0.57,4,217,3,0,0,high,26,2,2,2,2,2875,75,9,0,3.8,2.4,4.2,2.5,3.2,2.2
Warehouse,Senior Manager,0,3,6,0.4,0.64,2,148,6,1,0,medium,63,1,2,1,1,1279,73,7,0,1.8,4.2,4.2,3.0,1.8,2.6
Operations,Level 2-4,1,3,6,0.8,0.85,4,202,3,1,0,medium,8,2,3,2,2,5416,76,5,0,3.5,4.2,4.2,4.5,3.2,2.0
Operations,VP,0,3,6,0.4,0.55,2,150,3,0,0,medium,55,2,2,2,2,6658,64,8,1,3.8,2.4,1.8,2.8,1.6,1.6
Finance,Director,0,3,6,0.8,0.72,3,272,3,0,0,low,2,4,4,3,3,4459,79,8,0,3.5,4.2,4.2,2.5,3.2,2.6
Sales,Manager,0,3,6,0.4,0.61,6,159,5,1,0,medium,22,1,1,2,2,1247,90,6,0,3.8,4.2,4.2,3.0,2.2,2.4
Sales,Level 2-4,0,3,6,0.4,0.5,2,141,3,0,0,low,3,2,1,1,1,1785,60,6,1,3.8,2.4,1.8,2.5,1.4,2.8
Warehouse,Level 2-4,1,3,6,0.4,0.56,2,154,3,0,0,low,30,1,2,2,1,1030,65,8,1,3.8,2.4,1.8,4.0,1.6,3.8
Operations,Level 2-4,1,3,6,0.8,0.74,3,139,3,0,0,medium,3,3,3,4,2,5847,74,7,0,3.5,4.2,4.2,2.8,3.6,2.6
Warehouse,Level 2-4,1,3,6,0.8,0.71,5,250,3,1,0,medium,6,3,2,4,4,5298,78,5,0,3.5,4.2,4.2,2.2,4.0,3.2
Sales,Level 2-4,1,3,6,0.8,0.83,6,282,4,0,0,low,1,2,1,2,1,1193,87,6,1,3.5,4.2,1.8,2.5,2.8,3.2
Sales,Level 2-4,0,3,6,0.4,0.48,2,136,3,0,0,low,2,2,2,1,2,1932,61,6,1,3.8,2.4,1.8,2.8,3.0,2.8
Operations,Level 2-4,1,3,6,0.8,0.81,5,266,2,0,0,low,3,2,4,3,2,4030,80,5,0,3.5,4.2,4.2,3.5,2.6,2.0
Finance,Level 2-4,1,3,6,0.8,1.0,4,253,5,0,0,low,2,2,1,2,2,1362,89,1,1,0.0,4.6,1.8,2.8,2.6,2.8
Warehouse,Level 1,0,3,6,0.5,0.67,4,156,3,0,0,low,33,1,1,1,1,1836,87,9,0,1.8,4.2,4.2,4.0,2.0,2.6
Warehouse,Senior Manager,0,3,6,0.4,0.51,2,145,3,0,0,low,13,1,1,1,1,1836,67,7,1,3.8,2.4,1.8,2.2,2.2,2.6
Finance,Manager,0,3,6,0.5,0.65,5,180,2,0,0,low,52,1,1,2,1,1122,90,6,0,1.8,4.2,4.2,3.0,1.8,2.2
Sales,Level 2-4,1,3,6,0.8,0.95,4,184,3,0,0,low,9,3,4,2,3,5602,71,5,0,3.5,4.2,4.2,2.2,2.6,2.0
Operations,Level 1,1,3,6,0.8,0.84,3,220,3,1,0,high,6,3,4,2,2,5269,76,8,0,3.5,4.2,4.2,3.2,3.4,2.2
IT,Level 2-4,1,3,6,0.4,0.58,5,168,3,0,0,low,13,2,1,1,1,1317,89,10,0,3.8,2.4,4.2,4.0,2.8,2.6
Operations,Senior Manager,0,3,6,0.4,0.39,5,161,4,0,0,low,61,2,1,2,2,1107,89,8,0,3.8,2.4,4.2,3.5,2.0,3.0
Human Resources,Level 2-4,0,3,6,0.8,0.81,5,219,5,0,0,low,5,2,1,2,1,1388,87,8,1,3.5,4.2,1.8,3.8,2.4,3.2
Warehouse,Manager,1,3,6,0.8,0.97,4,269,3,0,0,low,3,4,3,3,3,4409,77,6,0,3.5,4.6,4.2,2.0,2.8,1.0
Finance,Senior Manager,1,3,6,0.4,0.51,2,129,3,0,0,low,59,2,1,2,1,1491,73,6,1,3.8,2.4,1.8,3.2,3.2,2.6
Operations,Senior Manager,0,3,6,0.4,0.52,2,102,6,0,0,low,13,2,1,1,1,1441,61,10,0,3.8,2.4,4.2,3.0,3.0,2.8
Finance,Level 2-4,1,3,6,0.8,0.86,5,222,3,0,0,low,3,2,2,3,2,5555,76,2,0,3.5,4.2,4.2,2.0,3.8,3.0
IT,Manager,1,3,6,0.8,1.0,4,192,4,0,0,high,7,4,3,3,3,4949,78,1,0,0.0,4.6,4.2,2.0,3.0,3.2
Operations,Manager,1,3,6,0.4,0.54,5,153,4,0,0,low,60,2,2,2,1,1403,86,7,1,3.8,2.4,1.8,3.0,3.2,2.2
Human Resources,Manager,1,3,6,0.8,0.88,3,159,2,0,0,medium,3,3,3,2,3,5691,73,3,0,3.5,4.2,4.2,2.5,3.0,3.6
Human Resources,Manager,1,3,6,0.8,0.85,4,173,3,0,0,high,1,2,2,2,2,5749,78,4,0,3.5,4.2,4.2,1.8,3.0,3.2
Operations,Senior Manager,0,3,6,0.8,0.8,6,301,5,0,0,medium,3,2,1,1,2,1628,89,2,1,3.5,4.2,1.8,4.5,2.4,2.4
IT,Level 2-4,1,3,6,0.8,0.92,4,263,3,0,0,medium,1,4,3,2,2,5283,75,8,0,3.5,4.2,4.2,3.5,2.8,3.2
IT,Level 2-4,1,3,6,0.4,0.37,4,153,2,0,0,medium,64,1,1,2,1,1747,89,10,0,3.8,2.4,4.2,3.5,1.2,3.2
Human Resources,Director,1,3,6,0.8,0.95,6,285,4,0,0,low,8,1,1,2,1,1028,89,7,1,3.5,4.2,1.8,4.2,3.0,3.0
Sales,Level 1,1,3,6,0.8,0.91,2,212,2,0,0,high,8,3,4,3,3,4128,75,2,0,3.5,4.2,4.2,2.5,4.2,3.8
IT,Manager,1,3,6,0.8,0.96,6,171,5,1,0,medium,9,3,3,4,3,4376,71,7,0,3.5,4.2,4.2,3.5,3.4,2.6
Operations,Senior Director,0,3,6,0.4,0.64,5,247,10,0,0,medium,57,2,1,1,2,2377,76,8,0,1.8,4.2,4.2,2.8,2.6,3.8
Warehouse,Level 1,0,3,6,0.8,0.73,5,155,3,0,0,medium,6,4,2,4,4,4109,79,9,0,3.5,4.2,4.2,4.5,2.4,2.0
Human Resources,Level 2-4,1,3,6,0.8,1.0,3,205,4,0,0,low,9,3,3,2,3,4819,78,8,0,0.0,4.6,4.2,3.5,3.4,3.0
Operations,Level 2-4,0,3,6,0.4,0.51,5,222,4,0,0,low,20,2,1,2,2,2858,77,9,0,3.8,2.4,4.2,3.2,2.0,1.8
Warehouse,Level 2-4,0,3,6,0.4,0.52,4,251,2,0,0,low,21,2,2,2,2,3268,76,9,0,3.8,2.4,4.2,4.5,2.4,2.2
IT,Level 2-4,0,3,6,0.4,0.54,3,233,2,0,0,low,50,2,2,2,1,3520,78,6,0,3.8,2.4,4.2,1.8,2.0,2.2
Finance,Level 2-4,1,3,6,0.4,0.56,2,204,3,0,0,high,43,1,1,1,1,3509,76,10,0,3.8,2.4,4.2,2.0,2.8,2.2
IT,Level 2-4,1,3,6,0.5,0.68,5,246,2,0,0,low,4,2,2,1,2,3617,75,7,0,1.8,4.2,4.2,2.2,1.8,3.0
IT,Manager,0,3,6,0.8,0.77,3,272,8,0,0,high,7,2,2,2,3,5257,78,7,0,3.5,4.2,4.2,3.5,3.0,2.6
Human Resources,Level 2-4,1,3,6,0.4,0.55,3,170,3,1,0,low,14,1,1,1,2,1173,60,7,0,3.8,2.4,4.2,3.2,2.8,3.0
IT,Level 1,1,3,6,0.8,0.9,3,245,3,0,0,medium,7,3,3,3,3,4121,79,5,0,3.5,4.2,4.2,2.2,3.2,2.6
Warehouse,Level 2-4,0,3,6,0.8,0.88,4,240,4,0,0,medium,7,3,2,3,4,4818,75,9,0,3.5,4.2,4.2,3.0,3.2,3.0
Finance,Level 1,1,3,6,0.8,0.79,6,249,4,0,0,low,8,1,2,1,1,1274,87,1,1,3.5,4.2,1.8,3.8,2.0,2.4
Human Resources,Level 1,0,3,6,0.8,0.88,3,189,2,0,0,medium,4,4,2,2,4,4160,76,4,0,3.5,4.2,4.2,2.5,2.2,3.8
Human Resources,Level 1,1,3,6,0.8,0.91,3,157,4,0,0,medium,7,4,3,2,2,4487,80,9,0,3.5,4.2,4.2,4.0,3.8,1.8
Finance,Level 2-4,1,3,6,0.8,0.86,6,279,4,0,0,medium,7,2,2,1,2,1300,86,2,1,3.5,4.2,1.8,3.5,2.2,2.4
Finance,Level 1,0,3,6,0.4,0.47,2,129,3,0,0,low,24,2,2,2,1,1134,63,10,1,3.8,2.4,1.8,2.8,2.6,2.2
Sales,Level 2-4,0,3,6,0.8,0.81,3,214,3,0,0,low,6,3,4,3,2,5319,79,1,0,3.5,4.2,4.2,4.0,2.4,3.2
Warehouse,Manager,1,3,6,0.8,0.76,6,174,10,0,0,medium,7,2,2,2,2,4287,74,1,0,3.5,4.2,4.2,2.0,2.6,2.4
Operations,Level 1,0,3,6,0.4,0.5,4,274,6,0,0,medium,11,1,1,2,2,2335,76,7,0,3.8,2.4,4.2,2.8,2.6,2.2
Sales,Level 2-4,0,3,6,0.4,0.55,3,188,3,0,0,medium,65,1,2,1,2,3667,86,9,0,3.8,2.4,4.2,2.8,3.0,2.6
IT,Level 1,0,3,6,0.4,0.64,5,269,3,0,0,medium,51,1,1,2,2,3415,75,7,0,1.8,4.2,4.2,3.5,2.4,3.0
Warehouse,Level 2-4,1,3,6,0.8,0.87,5,262,5,0,0,low,4,1,2,2,1,1509,85,8,1,3.5,4.2,1.8,3.2,2.4,2.2
IT,Level 2-4,1,3,6,0.8,0.88,5,146,7,1,0,low,7,3,4,2,2,5204,78,2,0,3.5,4.2,4.2,1.8,2.0,2.2
IT,Level 1,0,3,6,0.4,0.62,3,255,5,0,0,low,1,2,2,2,2,2713,78,9,0,1.8,4.2,4.2,2.5,2.8,3.6
Operations,Manager,0,3,6,0.8,0.9,6,143,5,0,0,high,9,2,4,2,2,4060,74,1,0,3.5,4.2,4.2,3.2,4.0,2.4
Warehouse,Level 2-4,0,3,6,0.8,0.87,4,152,7,0,0,low,5,2,3,3,3,5325,76,9,0,3.5,4.2,4.2,2.2,4.2,2.6
Sales,Level 2-4,0,3,6,0.4,0.59,5,268,3,0,0,low,19,1,2,1,2,2526,77,9,0,3.8,2.4,4.2,4.0,2.6,2.4
Sales,Level 2-4,0,3,6,0.4,0.64,3,250,3,0,0,medium,9,2,2,1,1,2752,78,10,0,1.8,4.2,4.2,2.0,1.4,2.4
Sales,Level 2-4,0,3,6,0.8,0.84,5,135,3,0,0,medium,9,3,2,2,3,5173,79,2,0,3.5,4.2,4.2,2.8,3.4,3.4
Warehouse,Director,0,3,6,0.8,0.76,4,173,2,0,0,medium,2,2,2,3,2,5327,77,4,0,3.5,4.2,4.2,3.2,2.2,2.6
Operations,Manager,1,3,6,0.4,0.61,5,222,3,0,0,high,21,2,2,1,2,2351,77,8,0,3.8,4.2,4.2,1.8,1.6,2.6
Operations,Level 1,1,3,6,0.8,0.76,4,280,5,0,0,low,3,3,4,3,2,5034,80,1,0,3.5,4.2,4.2,3.8,2.4,1.8
Human Resources,Level 2-4,0,3,6,0.8,0.8,4,226,5,0,0,low,5,3,2,2,3,4833,80,2,0,3.5,4.2,4.2,3.5,1.6,2.4
IT,Level 2-4,1,3,6,0.8,0.85,3,207,2,0,0,low,7,3,4,3,2,4639,78,4,0,3.5,4.2,4.2,2.5,2.4,3.2
Sales,Senior Director,1,3,6,0.8,0.89,4,240,3,0,0,medium,6,4,2,3,2,4964,75,5,0,3.5,4.2,4.2,3.8,3.4,3.4
IT,Level 1,1,3,6,0.8,0.79,7,284,4,0,0,medium,8,2,2,1,1,1148,86,7,1,3.5,4.2,1.8,2.8,2.8,2.8
Warehouse,Level 1,0,3,6,0.8,0.86,4,245,4,0,0,medium,8,4,4,2,3,5982,77,7,0,3.5,4.2,4.2,2.8,3.0,2.8
IT,Level 1,1,3,6,0.4,0.38,5,115,6,1,0,high,47,2,1,1,2,1663,85,6,0,3.8,2.4,4.2,3.2,2.8,3.2
Warehouse,Manager,0,3,6,0.4,0.55,4,122,5,1,0,medium,37,1,1,1,1,1889,85,9,0,3.8,2.4,4.2,3.0,2.2,3.2
IT,Level 1,0,3,6,0.8,0.93,6,166,4,0,0,low,10,3,4,3,3,5783,71,9,0,3.5,4.2,4.2,2.8,3.2,3.0
Warehouse,Level 2-4,0,3,6,0.8,1.0,4,177,5,0,0,medium,7,3,4,3,3,4070,74,7,0,0.0,4.6,4.2,3.5,3.0,1.6
Sales,Manager,0,3,6,0.8,0.89,4,225,8,0,0,low,8,3,3,2,2,4718,78,7,0,3.5,4.2,4.2,3.5,3.0,3.4
Human Resources,Senior Manager,1,3,6,0.8,0.79,3,284,10,0,0,low,8,3,2,2,2,4562,79,7,0,3.5,4.2,4.2,2.5,3.2,2.0
IT,Level 2-4,0,3,6,0.4,0.53,4,158,2,0,0,medium,50,2,1,2,2,1292,90,9,0,3.8,2.4,4.2,3.8,2.0,2.2
Operations,Level 1,1,3,6,0.8,0.97,3,239,3,0,0,low,4,2,3,3,2,5628,80,6,0,3.5,4.6,4.2,1.8,1.8,2.8
Operations,Level 2-4,0,3,6,0.8,0.93,3,110,4,0,0,medium,6,4,3,3,4,5474,79,7,0,3.5,4.2,4.2,3.2,3.6,2.2
Operations,Level 2-4,0,3,6,0.8,0.82,4,270,5,0,0,low,1,1,2,2,1,1187,89,7,1,3.5,4.2,1.8,3.8,2.6,2.4
Human Resources,VP,0,3,6,0.8,0.95,4,191,2,0,0,low,10,2,4,2,3,5068,74,6,0,3.5,4.2,4.2,3.5,2.0,2.4
Finance,Level 2-4,0,3,6,0.8,0.77,4,245,3,0,0,medium,2,4,2,3,3,5439,76,9,0,3.5,4.2,4.2,4.5,3.0,1.8
