EMP_Sat_OnPrem_mean,Emp_Identity,Emp_Position,number_project,EMP_Engagement_mean,Sensor_Heartbeat(Average/Min),average_montly_hours,Emp_Role,time_spend_company,Emp_Title,EMP_Sat_Remote_mean,Emp_Competitive_mean,Sensor_StepCount,left_Company,salary,Work_accident
3.5,2,2,5,1.8,86,248,1,4,1,4.2,2.4,1944,1,low,0
3.5,4,3,5,4.2,73,193,4,2,3,4.2,3.0,5184,0,low,0
3.5,2,1,2,1.8,90,181,1,5,2,4.2,1.6,1043,1,medium,0
3.8,2,1,3,4.2,80,257,2,3,1,2.4,1.8,2046,0,low,0
3.5,4,2,6,4.2,76,127,3,3,4,4.2,2.8,5574,0,medium,1
3.8,1,1,4,4.2,90,141,1,3,2,2.4,2.6,1976,0,low,0
3.8,1,2,4,4.2,90,154,1,5,1,2.4,1.4,1498,0,high,0
3.5,3,3,3,4.2,76,256,3,2,2,4.2,3.4,4228,0,medium,0
3.8,2,2,3,1.8,73,166,2,5,2,2.4,1.6,1252,1,medium,0
3.8,2,1,3,4.2,80,208,2,3,2,2.4,1.8,2374,0,medium,0
3.5,3,2,5,4.2,77,258,2,2,2,4.2,3.0,4200,0,low,0
1.8,2,2,5,4.2,87,196,2,3,2,4.2,2.0,2211,0,low,0
3.5,2,2,6,4.2,76,239,2,4,3,4.2,2.6,4589,0,medium,0
1.8,2,2,4,4.2,75,236,1,7,1,4.2,3.2,3808,0,medium,0
3.5,2,2,3,4.2,79,255,4,4,3,4.2,2.6,4107,0,low,1
1.8,1,1,4,4.2,86,138,2,3,2,4.2,3.2,1080,0,medium,0
3.5,3,2,4,4.2,76,270,2,2,3,4.2,2.6,5814,0,low,1
3.5,4,2,3,4.2,79,119,4,2,2,4.2,2.8,4146,0,low,1
3.8,2,1,3,4.2,75,149,1,3,1,2.4,2.4,1999,0,low,0
3.5,3,2,5,4.2,78,223,4,3,3,4.2,2.8,4671,0,low,1
3.8,1,2,5,4.2,75,213,2,4,2,2.4,2.6,2003,0,medium,0
3.5,2,3,3,4.2,77,132,2,2,3,4.2,1.8,4355,0,low,0
1.8,1,1,6,4.2,76,250,2,5,1,4.2,2.4,3352,0,low,1
3.8,1,2,2,1.8,72,149,1,3,1,2.4,3.4,1819,1,high,0
3.5,1,2,4,1.8,85,249,1,6,2,4.6,1.8,1415,1,medium,0
3.8,1,1,2,1.8,75,155,2,3,2,2.4,3.6,1811,1,low,0
3.5,3,4,3,4.2,80,185,3,2,3,4.2,2.8,5430,0,medium,0
3.8,2,2,3,4.2,76,235,1,2,2,2.4,3.6,3802,0,low,0
3.8,2,1,2,1.8,69,154,1,3,1,2.4,3.4,7684,1,medium,1
1.8,2,2,4,4.2,86,183,1,4,2,4.2,1.4,3632,0,low,0
3.5,2,4,4,4.2,76,237,2,3,2,4.2,2.2,5045,0,medium,1
3.5,3,2,3,4.2,76,209,4,2,2,4.2,3.6,4363,0,high,0
1.8,1,2,3,4.2,78,202,1,4,1,4.2,1.4,3655,0,high,0
3.8,1,1,5,4.2,87,145,2,3,1,2.4,2.4,1387,0,low,1
3.8,1,2,7,1.8,89,263,1,4,1,2.4,3.4,1335,1,medium,0
3.8,1,2,4,4.2,77,255,2,3,2,2.4,1.8,3758,0,medium,0
3.5,2,2,2,4.2,73,175,2,6,2,4.2,3.8,5341,0,high,0
3.8,1,2,2,4.2,66,113,1,5,1,4.2,2.0,1638,0,low,0
3.8,1,1,4,4.2,88,175,2,3,1,2.4,2.2,1334,0,medium,0
3.5,2,1,4,1.8,89,263,1,6,1,4.6,3.2,1644,1,medium,0
3.8,2,1,2,4.2,70,112,1,3,2,2.4,2.2,1514,0,medium,0
3.8,2,2,4,4.2,79,227,2,3,1,2.4,2.0,2240,0,medium,1
3.8,2,2,4,4.2,86,178,2,3,2,2.4,2.0,1573,0,medium,0
1.8,1,1,4,4.2,89,146,1,2,2,4.2,2.4,1459,0,low,0
3.5,3,2,5,4.2,71,192,4,3,2,4.2,3.0,4015,0,medium,0
3.8,2,1,4,4.2,76,247,2,2,1,2.4,2.4,3568,0,low,1
3.5,3,2,3,4.2,70,170,3,2,2,4.2,2.2,4214,0,low,0
3.8,1,1,2,4.2,86,188,2,3,1,2.4,2.6,3950,0,high,0
3.5,3,2,4,4.2,77,220,3,3,4,4.2,3.0,4314,0,medium,0
3.8,1,1,2,1.8,63,142,2,3,1,2.4,2.2,1806,1,low,0
1.8,1,1,3,4.2,79,229,2,3,1,4.2,2.0,3963,0,medium,0
3.8,2,2,4,4.2,87,181,1,3,2,2.4,2.8,2012,0,low,0
3.8,1,2,4,4.2,88,152,1,4,1,2.4,2.4,1212,0,high,0
1.8,1,2,3,4.2,77,206,1,3,1,4.2,3.0,2892,0,medium,0
3.8,1,2,4,4.2,75,243,1,2,1,2.4,2.8,2135,0,low,0
1.8,1,1,3,4.2,68,121,2,3,1,4.2,2.2,1611,0,low,1
3.8,1,2,4,4.2,87,165,1,3,1,2.4,3.2,1142,0,medium,0
3.8,5,2,3,4.2,71,139,5,8,1,2.4,3.6,1577,0,medium,0
3.8,2,2,3,4.2,75,237,2,3,1,2.4,1.8,2219,0,low,0
1.8,2,1,4,4.2,88,177,2,2,2,4.2,3.2,1698,0,low,0
1.8,1,2,4,4.2,75,256,1,2,2,4.2,2.4,3128,0,medium,0
3.5,4,2,4,4.2,75,206,4,2,4,4.2,3.2,4437,0,medium,0
3.5,1,1,6,1.8,88,291,1,4,2,4.2,2.2,1131,1,low,0
3.5,2,2,3,4.2,75,158,2,3,3,4.6,3.4,5261,0,low,0
3.5,4,2,3,4.2,77,218,4,4,3,4.2,3.2,5330,0,low,0
1.8,1,1,4,4.2,79,276,2,6,2,4.2,2.8,2843,0,high,0
3.8,2,1,4,4.2,75,227,2,4,1,2.4,2.4,2460,0,medium,0
3.8,1,1,3,4.2,71,158,1,3,2,2.4,2.2,1307,0,high,1
3.5,4,2,4,4.2,77,235,2,4,4,4.2,2.6,4633,0,medium,0
3.5,2,3,3,4.2,76,205,2,3,3,4.6,3.6,4490,0,low,0
3.8,2,2,2,4.2,79,254,1,5,2,2.4,2.0,3276,0,medium,0
3.8,1,2,7,1.8,85,224,1,5,2,2.4,2.6,1023,1,medium,0
3.8,2,1,3,4.2,89,194,1,4,2,2.4,3.0,2026,0,low,0
3.8,1,2,4,4.2,88,108,2,6,2,2.4,2.6,1745,0,low,0
3.5,3,4,3,4.2,72,172,4,2,2,4.2,2.4,4647,0,medium,0
3.8,1,2,3,1.8,86,294,1,4,2,2.4,2.0,1498,1,low,0
3.8,1,2,2,1.8,74,152,2,3,2,2.4,1.6,1292,1,low,1
3.8,2,1,2,1.8,62,152,2,3,1,2.4,2.2,1498,1,low,0
3.8,1,2,2,1.8,72,135,1,3,1,2.4,2.2,1331,1,low,0
3.5,4,2,3,4.2,77,210,4,3,4,4.2,3.0,5683,0,medium,0
3.5,2,1,4,1.8,89,228,1,5,1,4.2,1.6,1381,1,low,0
3.8,2,2,4,4.2,78,273,2,3,2,2.4,3.4,2919,0,medium,0
3.8,2,2,6,4.2,75,264,1,3,2,2.4,3.2,2297,0,medium,0
3.5,4,2,5,4.2,77,193,4,3,2,4.2,3.0,5873,0,medium,0
3.5,2,1,5,1.8,87,255,1,5,2,4.2,2.2,1156,1,medium,0
1.8,1,2,2,4.2,90,183,2,3,1,4.2,3.2,3090,0,low,0
3.8,1,2,7,1.8,88,156,2,2,1,2.4,2.4,1586,1,medium,0
3.5,1,1,4,1.8,87,274,2,5,2,4.2,2.0,1637,1,low,0
3.5,2,2,4,4.2,79,201,2,6,2,4.2,2.4,5529,0,medium,0
1.8,2,1,5,4.2,87,149,2,7,2,4.2,1.8,1346,0,medium,1
3.5,3,4,2,4.2,77,215,3,5,4,4.2,3.8,5185,0,medium,1
1.8,1,1,5,4.2,78,229,1,2,1,4.2,2.8,3667,0,medium,0
1.8,2,2,4,4.2,90,143,1,8,2,4.2,2.6,1326,0,medium,0
3.8,1,1,4,4.2,80,246,2,3,2,2.4,2.8,2784,0,low,0
1.8,1,1,3,4.2,85,189,1,3,1,4.2,3.2,2203,0,low,0
3.8,1,1,3,4.2,64,156,1,3,1,2.4,3.2,1033,0,medium,1
3.5,4,4,4,4.2,78,214,2,5,2,4.2,2.6,4573,0,medium,0
3.8,2,2,3,4.2,89,185,1,2,1,4.2,2.6,2803,0,medium,1
3.5,2,2,6,1.8,86,276,2,4,2,4.2,2.4,1120,1,low,0
3.5,2,2,6,4.2,77,217,3,6,2,4.2,2.2,4209,0,medium,1
3.5,3,3,4,4.2,75,251,4,3,2,4.2,1.6,5460,0,high,0
3.5,2,2,4,4.2,76,247,3,10,3,4.2,3.6,5882,0,high,0
3.5,1,1,6,1.8,90,264,2,4,2,4.2,3.4,1243,1,low,0
3.5,2,3,3,4.2,78,259,2,6,2,4.6,2.6,5873,0,medium,0
1.8,1,1,3,4.2,75,266,2,3,1,4.2,2.2,2334,0,medium,0
3.5,2,2,5,4.2,71,160,2,3,2,4.2,2.8,5876,0,high,1
3.5,4,2,4,4.2,80,243,2,3,3,4.6,2.8,4277,0,high,0
0.0,2,1,5,1.8,87,221,1,5,2,4.6,1.8,1718,1,low,0
3.8,2,2,3,4.2,85,192,2,3,1,2.4,2.4,3662,0,low,1
3.8,2,2,2,1.8,67,140,2,3,1,2.4,1.8,1412,1,low,0
3.5,4,2,3,4.2,77,190,4,3,2,4.6,3.8,5069,0,medium,0
3.5,3,2,4,4.2,78,254,4,3,2,4.2,2.4,4148,0,medium,1
3.8,1,1,2,4.2,60,148,1,3,2,2.4,1.8,1600,0,high,0
3.5,3,2,3,4.2,79,249,2,2,2,4.2,2.6,5190,0,medium,0
3.5,2,2,3,4.2,75,173,3,2,4,4.2,2.6,5521,0,medium,0
3.5,3,3,6,4.2,78,232,2,5,3,4.2,3.2,4345,0,high,0
3.5,2,2,6,1.8,85,264,1,4,2,4.2,2.8,1960,1,low,0
3.8,1,2,4,4.2,76,217,1,4,1,2.4,3.0,3470,0,medium,1
3.8,5,1,2,4.2,61,113,2,3,1,2.4,3.2,1352,0,medium,0
3.5,1,1,2,1.8,90,181,1,5,1,4.2,2.4,1368,1,medium,0
3.8,2,1,2,1.8,62,148,2,3,2,2.4,2.2,7412,1,medium,0
3.5,2,4,3,4.2,75,176,2,3,2,4.2,3.2,5623,0,medium,0
3.5,2,1,6,1.8,85,275,2,4,1,4.2,2.2,1553,1,low,0
3.5,2,1,4,1.8,90,240,2,5,2,4.2,2.8,1301,1,medium,0
3.8,1,2,3,4.2,75,226,2,2,2,2.4,2.6,3753,0,low,0
3.5,2,2,5,4.2,71,162,4,3,4,4.2,2.2,5537,0,medium,1
1.8,1,1,5,4.2,75,270,2,3,1,4.2,2.0,3908,0,high,0
1.8,2,2,3,4.2,80,242,1,5,1,4.2,1.4,2307,0,low,1
3.5,2,2,4,1.8,88,225,2,5,2,4.2,2.6,1573,1,medium,0
3.5,1,2,4,1.8,87,262,2,6,1,4.6,2.8,1644,1,medium,0
3.5,3,3,3,4.2,80,273,2,2,3,4.2,3.2,4219,0,medium,0
3.5,2,2,3,4.2,80,241,2,3,3,4.2,2.6,4301,0,medium,0
3.8,2,1,4,4.2,89,157,2,2,1,2.4,2.2,1087,0,low,0
3.5,3,2,4,4.2,77,199,3,5,3,4.2,2.4,5669,0,medium,0
3.5,4,2,4,4.2,78,242,2,2,2,4.2,3.2,4806,0,medium,0
3.5,3,4,5,4.2,76,215,4,2,3,4.2,2.6,5194,0,medium,1
3.8,2,1,5,4.2,75,271,2,3,2,2.4,3.6,3785,0,medium,0
3.8,2,2,2,1.8,73,148,1,3,2,2.4,1.6,7494,1,medium,0
3.5,4,2,6,4.2,79,215,4,5,2,4.2,2.6,4057,0,low,0
3.5,4,2,5,4.2,80,154,3,5,2,4.2,3.0,5659,0,low,0
0.0,3,3,4,4.2,80,220,4,10,3,4.6,3.0,4100,0,medium,0
3.8,1,2,4,4.2,89,117,1,5,2,2.4,1.4,1239,0,medium,1
3.5,2,2,6,1.8,85,256,2,4,1,4.2,2.2,1163,1,low,0
3.8,2,2,5,4.2,88,145,1,3,1,2.4,2.2,1316,0,low,0
1.8,1,2,4,4.2,87,148,2,3,1,4.2,1.4,1814,0,high,0
3.8,1,1,3,4.2,79,203,2,2,2,2.4,1.8,3845,0,medium,1
3.5,2,1,5,1.8,85,255,2,6,2,4.6,3.4,1610,1,low,0
3.5,1,2,4,1.8,88,269,2,5,2,4.2,2.8,1273,1,low,0
3.5,1,1,5,1.8,90,219,1,5,2,4.6,2.6,1419,1,low,0
3.8,2,2,3,4.2,75,177,2,4,2,2.4,3.2,1634,0,high,0
3.8,1,2,3,4.2,75,275,2,2,2,2.4,2.6,3814,0,low,0
3.8,2,1,3,4.2,72,110,1,3,2,4.2,2.2,1875,0,low,1
3.8,1,1,4,4.2,78,228,2,2,1,2.4,2.0,3622,0,medium,0
3.8,1,2,2,1.8,64,143,2,3,1,2.4,2.4,1471,1,low,0
1.8,1,2,3,4.2,78,236,1,3,2,4.2,2.6,3976,0,low,1
3.8,1,1,4,4.2,76,263,1,4,1,4.2,2.0,2960,0,medium,0
3.8,2,2,3,4.2,71,170,2,6,2,2.4,3.4,1281,0,low,0
3.5,3,2,4,4.2,80,139,3,2,2,4.2,3.2,4041,0,high,0
3.5,4,2,4,4.2,78,148,3,2,3,4.2,2.2,5437,0,low,0
3.5,4,2,2,4.2,75,111,4,2,2,4.6,3.2,4038,0,low,0
3.5,3,2,3,4.2,78,250,2,4,3,4.2,3.4,4028,0,low,0
1.8,2,2,5,4.2,89,167,2,7,1,4.2,2.4,1691,0,medium,0
3.8,1,2,2,1.8,69,129,2,3,1,2.4,1.6,1231,1,low,0
3.5,4,3,4,4.2,80,171,3,3,4,4.6,3.2,5971,0,medium,0
1.8,1,2,3,4.2,68,139,2,4,2,4.2,3.0,1137,0,high,0
3.5,4,2,5,4.2,79,152,2,3,3,4.2,3.4,5502,0,high,0
3.5,3,2,4,4.2,76,163,4,4,3,4.6,2.2,5751,0,medium,0
3.8,2,1,2,1.8,62,158,2,3,2,2.4,2.2,1651,1,low,0
1.8,2,2,6,4.2,79,278,1,2,2,4.2,3.0,2112,0,medium,0
3.5,2,2,5,1.8,88,269,1,5,1,4.2,2.8,1454,1,low,0
3.8,1,1,4,4.2,75,244,2,2,2,2.4,2.6,3260,0,medium,0
3.5,3,4,4,4.2,79,198,3,3,2,4.2,3.8,5487,0,medium,1
3.5,2,3,5,4.2,80,248,4,3,3,4.2,3.2,4075,0,low,0
3.8,1,1,2,1.8,61,147,2,3,2,2.4,2.2,7288,1,medium,0
3.8,2,2,5,4.2,75,224,2,4,1,2.4,2.4,2966,0,low,0
3.8,1,2,2,1.8,64,154,1,3,1,2.4,3.0,1694,1,low,0
3.5,2,3,3,4.2,78,181,4,3,3,4.2,4.0,5966,0,low,0
3.5,2,2,2,4.2,74,160,4,6,3,4.2,3.4,4972,0,medium,0
3.5,3,4,3,4.2,75,217,3,4,4,4.2,4.0,5761,0,medium,0
3.5,2,3,3,4.2,80,189,2,4,3,4.2,3.0,4785,0,low,0
3.5,2,2,3,4.2,76,193,4,3,3,4.2,3.0,5224,0,low,1
3.5,2,2,4,4.2,79,261,4,3,2,4.2,3.8,4028,0,medium,0
3.8,1,2,4,4.2,77,208,2,4,1,2.4,1.6,3752,0,medium,0
3.5,2,1,6,1.8,87,269,2,4,2,4.2,2.6,1872,1,medium,0
3.8,2,2,3,4.2,64,132,1,3,2,2.4,2.4,1627,0,low,0
1.8,2,1,4,4.2,86,139,2,4,2,4.2,3.0,1511,0,low,0
3.8,2,2,4,4.2,88,149,1,3,1,2.4,3.0,1264,0,medium,0
3.5,4,3,3,4.2,75,234,2,2,4,4.2,4.0,4012,0,medium,1
3.8,2,2,2,1.8,69,127,1,3,2,2.4,2.2,1368,1,low,1
3.8,2,2,5,4.2,75,218,2,2,2,2.4,1.6,3754,0,low,0
3.8,1,2,4,4.2,88,169,1,5,2,2.4,2.2,1816,0,high,0
3.5,5,3,5,4.2,75,271,3,2,3,4.2,3.0,4801,0,medium,0
3.5,4,2,4,4.2,78,260,4,3,2,4.2,2.4,4224,0,low,1
3.5,3,4,3,4.2,77,185,2,2,3,4.2,3.8,5449,0,medium,1
1.8,1,2,4,4.2,90,113,1,6,1,4.2,3.2,1538,0,medium,0
3.8,1,1,3,4.2,63,158,1,4,1,2.4,2.0,1510,0,medium,0
3.8,1,1,2,1.8,60,144,1,3,2,2.4,1.8,7178,1,medium,0
3.5,3,3,4,4.2,76,244,3,2,2,4.2,3.8,4644,0,low,0
3.8,2,1,5,4.2,80,271,1,2,1,4.2,3.0,2744,0,high,0
3.5,4,3,4,4.2,72,196,2,3,2,4.2,3.0,5541,0,medium,0
1.8,2,2,4,4.2,75,216,2,3,2,4.2,2.8,3549,0,low,0
3.8,1,2,4,4.2,86,107,1,6,2,2.4,2.8,1588,0,medium,0
3.5,1,1,5,1.8,88,240,2,5,1,4.2,2.2,1200,1,medium,0
3.5,4,2,3,4.2,79,253,2,3,2,4.2,3.2,5857,0,high,0
3.5,2,2,4,4.2,79,188,2,2,2,4.2,2.6,5085,0,low,1
3.5,1,2,6,1.8,85,282,2,4,2,4.2,2.2,1013,1,medium,0
3.5,2,2,6,4.2,78,231,3,4,2,4.2,3.2,4553,0,low,0
3.5,4,2,3,4.2,75,169,4,3,3,4.2,3.6,5716,0,low,0
3.5,4,2,3,4.2,71,196,4,6,2,4.6,3.6,5414,0,low,1
1.8,2,2,5,4.2,89,199,2,2,2,4.2,3.8,2553,0,high,1
3.8,2,1,4,4.2,88,180,1,4,2,2.4,2.0,1508,0,high,0
3.5,4,3,4,4.2,75,174,3,3,2,4.2,3.4,4348,0,low,0
3.8,1,2,5,4.2,90,175,2,4,1,2.4,2.8,1931,0,low,0
3.5,2,3,3,4.2,77,243,4,3,4,4.2,2.2,4093,0,medium,1
1.8,1,1,3,4.2,77,226,1,3,1,4.2,2.8,2465,0,medium,0
3.5,3,2,6,4.2,79,220,2,3,3,4.2,3.6,5508,0,medium,0
3.5,1,1,5,1.8,87,251,2,6,2,4.6,2.8,1827,1,low,0
3.8,2,2,2,1.8,64,159,2,3,1,2.4,2.6,7222,1,medium,1
1.8,1,2,6,4.2,88,176,1,5,1,4.2,2.8,1767,0,low,0
3.5,1,1,6,1.8,89,287,1,4,1,4.2,2.0,1791,1,medium,0
3.5,1,1,4,1.8,85,226,1,6,2,4.2,1.8,1704,1,medium,1
3.5,3,3,4,4.2,73,152,4,2,4,4.2,2.8,5324,0,medium,1
3.5,4,3,5,4.2,75,227,2,2,4,4.2,3.6,5904,0,medium,0
3.5,3,3,4,4.2,80,179,2,3,3,4.2,2.0,5284,0,low,0
3.5,2,2,3,4.2,80,157,3,3,2,4.2,3.0,5398,0,medium,0
3.5,2,1,4,1.8,88,228,1,5,1,4.2,2.8,1044,1,low,0
3.5,5,3,5,4.2,75,233,2,7,4,4.2,2.6,5759,0,medium,0
3.8,2,1,5,4.2,87,143,1,2,2,2.4,2.0,1837,0,medium,0
3.8,1,1,4,4.2,90,194,1,2,2,2.4,3.2,2942,0,low,1
3.8,1,1,6,4.2,90,105,1,6,2,2.4,2.0,1077,0,medium,0
0.0,2,1,5,1.8,85,219,1,5,2,4.6,2.8,1553,1,low,0
3.5,2,1,6,1.8,87,261,1,4,1,4.2,2.2,1217,1,low,0
3.8,2,1,5,4.2,86,137,1,3,2,2.4,1.6,1190,0,medium,1
3.5,4,2,5,4.2,75,187,3,3,4,4.6,2.2,4613,0,medium,1
3.5,3,3,4,4.2,77,213,2,3,4,4.2,3.8,5214,0,medium,0
3.5,2,1,4,1.8,87,239,2,5,2,4.2,2.6,1380,1,low,0
3.5,4,4,3,4.2,75,229,4,2,3,4.2,2.8,5670,0,medium,0
3.8,2,1,5,4.2,85,152,1,3,1,2.4,2.2,1242,0,medium,0
1.8,1,2,5,4.2,78,202,1,6,2,4.2,2.2,2936,0,low,0
3.5,2,2,6,1.8,89,260,1,4,1,4.2,2.8,1131,1,low,0
3.5,2,3,4,4.2,76,253,2,2,3,4.2,3.2,5892,0,low,0
3.8,1,1,4,1.8,87,134,2,3,1,2.4,2.6,1131,1,low,0
3.5,3,3,5,4.2,76,237,4,3,3,4.2,3.6,5131,0,low,1
1.8,2,1,4,4.2,76,226,1,7,2,4.2,2.4,2964,0,low,0
3.5,3,3,4,4.2,71,140,3,2,2,4.2,3.2,4347,0,medium,0
1.8,2,1,6,4.2,78,233,2,6,1,4.2,2.0,3341,0,medium,0
3.5,3,3,3,4.2,80,133,2,3,3,4.2,2.0,5213,0,low,0
3.5,3,2,5,4.2,79,222,2,3,2,4.2,2.4,4663,0,medium,1
3.5,1,1,6,1.8,89,258,1,4,1,4.2,2.6,1104,1,low,0
3.5,4,3,4,4.2,80,260,3,2,4,4.2,3.0,4529,0,medium,0
3.8,2,2,4,4.2,89,142,1,4,2,4.2,2.6,1777,0,low,0
3.8,2,1,2,1.8,68,136,2,3,2,2.4,1.8,1221,1,low,0
3.8,2,2,4,4.2,89,133,2,4,2,4.2,2.4,1401,0,medium,1
3.5,3,4,3,4.2,75,181,4,3,2,4.2,1.8,5620,0,medium,0
3.5,2,3,4,4.2,78,142,2,2,2,4.2,3.0,4472,0,low,0
3.5,3,2,3,4.2,77,144,3,3,2,4.2,2.6,5221,0,low,0
3.8,1,1,2,1.8,65,140,1,3,2,2.4,2.2,1411,1,low,0
3.8,2,2,2,4.2,88,180,2,5,1,2.4,2.0,1706,0,low,1
3.5,5,2,3,4.2,75,261,5,8,2,4.2,4.2,4007,0,medium,1
3.8,1,1,3,4.2,78,221,1,3,2,2.4,3.0,2794,0,low,0
3.8,2,1,4,4.2,88,177,2,2,2,2.4,1.8,1236,0,high,0
3.5,2,2,4,4.2,79,135,2,2,2,4.2,2.8,4508,0,low,0
3.5,2,3,4,4.2,79,273,4,3,2,4.2,2.2,5712,0,low,0
3.5,2,3,4,4.2,70,184,2,3,3,4.2,2.6,4124,0,medium,0
1.8,2,1,5,4.2,88,195,2,3,2,4.2,2.6,3690,0,low,0
3.8,1,1,2,1.8,63,141,1,3,2,2.4,2.0,1938,1,low,1
3.5,2,4,4,4.2,75,154,3,6,4,4.2,3.8,4361,0,medium,1
1.8,1,2,5,4.2,75,245,1,4,1,4.2,1.8,2225,0,medium,0
3.5,1,2,4,1.8,88,255,1,5,2,4.6,2.0,1918,1,medium,0
3.8,2,2,4,4.2,90,137,1,4,1,2.4,3.0,1262,0,high,0
3.5,1,2,5,1.8,90,267,1,5,1,4.2,2.0,1818,1,medium,0
3.8,2,2,2,1.8,60,131,2,3,1,2.4,2.4,6240,1,medium,0
3.5,1,2,5,1.8,86,223,1,5,1,4.2,1.6,1883,1,medium,0
3.5,2,3,6,4.2,72,166,3,3,3,4.2,3.2,5559,0,low,0
1.8,2,2,4,4.2,85,163,2,3,1,4.2,2.0,1926,0,low,1
1.8,2,2,4,4.2,76,219,2,2,1,4.2,3.0,2164,0,medium,0
1.8,2,2,3,4.2,75,243,2,3,2,4.2,3.0,3943,0,medium,0
3.8,1,1,5,4.2,86,200,1,5,1,2.4,3.0,2974,0,low,0
3.8,1,2,4,4.2,87,148,1,2,1,2.4,2.8,1087,0,medium,0
3.5,4,2,5,4.2,73,143,3,5,2,4.2,3.0,4393,0,medium,0
3.8,1,2,2,1.8,60,152,1,3,1,2.4,2.8,7716,1,medium,0
3.5,2,3,5,4.2,80,255,4,6,2,4.2,3.8,4638,0,low,0
3.8,1,1,2,1.8,68,127,2,3,1,2.4,1.6,1309,1,low,0
3.8,2,1,2,1.8,71,149,1,3,2,2.4,2.4,1354,1,low,0
3.5,1,1,3,1.8,86,158,1,5,1,4.6,2.0,1171,1,low,0
3.5,3,4,3,4.2,78,221,2,2,3,4.6,3.4,4466,0,medium,1
3.5,2,3,3,4.2,78,170,3,3,3,4.2,2.8,4716,0,low,0
3.5,2,2,4,1.8,88,246,1,5,1,4.2,2.0,1673,1,low,0
3.5,3,3,5,4.2,74,181,2,3,2,4.2,3.8,5875,0,low,1
3.5,3,3,4,4.2,77,271,2,2,2,4.2,3.2,4866,0,low,0
3.8,2,2,2,1.8,73,156,2,3,2,2.4,1.6,6064,1,medium,0
3.5,1,1,4,1.8,86,245,2,6,2,4.2,2.4,1884,1,low,0
3.8,1,2,4,4.2,77,242,1,3,1,2.4,2.8,3896,0,medium,0
3.5,1,2,6,1.8,89,136,2,3,1,4.6,3.0,1826,1,low,0
1.8,2,1,3,4.2,76,226,2,3,1,4.2,2.0,3593,0,medium,0
3.5,4,2,4,4.2,72,140,3,3,3,4.2,3.8,5924,0,low,0
3.5,2,2,5,1.8,86,237,1,5,1,4.2,2.6,1733,1,medium,0
3.8,2,2,3,4.2,78,266,2,2,2,2.4,2.4,2055,0,low,0
3.8,1,2,2,4.2,77,208,2,4,2,2.4,3.2,3436,0,medium,0
3.5,3,4,3,4.2,80,102,4,3,4,4.2,3.6,4111,0,medium,0
3.5,4,4,3,4.2,78,133,4,5,4,4.2,3.6,5744,0,medium,0
3.8,1,1,6,4.2,77,283,2,5,2,4.2,2.0,2686,0,medium,0
3.8,1,1,2,1.8,60,136,1,3,2,2.4,1.8,1037,1,low,0
3.5,2,4,5,4.2,80,249,2,3,4,4.2,3.0,4392,0,medium,1
3.8,1,1,4,4.2,78,253,2,3,2,2.4,1.8,3444,0,medium,0
3.5,1,2,6,1.8,86,289,2,4,2,4.2,2.4,1656,1,low,1
3.8,2,1,2,1.8,60,152,1,3,2,2.4,2.6,6314,1,medium,0
3.5,1,2,5,1.8,87,265,2,6,1,4.2,2.2,1937,1,low,0
3.5,5,4,4,4.2,79,189,3,3,2,4.2,3.6,5613,0,medium,0
3.5,3,3,4,4.2,79,274,3,4,3,4.6,2.2,5145,0,low,0
1.8,2,2,2,4.2,72,177,1,4,1,4.2,2.0,1058,0,low,0
3.8,2,2,3,4.2,77,268,2,3,2,2.4,2.8,3495,0,medium,0
3.8,1,2,4,4.2,76,235,2,2,1,2.4,2.0,2573,0,medium,0
3.8,1,1,3,4.2,67,170,1,3,1,2.4,3.2,1734,0,medium,0
3.5,1,1,5,1.8,88,236,1,5,2,4.2,2.6,1137,1,low,0
1.8,2,2,3,4.2,86,198,2,3,2,4.2,1.8,3250,0,low,1
3.5,2,3,2,4.2,79,180,3,2,3,4.2,3.2,4407,0,high,0
3.5,4,2,3,4.2,77,145,3,3,2,4.2,3.0,5709,0,medium,1
3.5,3,2,5,4.2,75,255,3,2,3,4.2,3.2,5609,0,medium,0
3.8,2,2,2,4.2,76,237,2,2,2,2.4,3.2,3309,0,low,0
3.5,3,4,3,4.2,75,262,4,2,2,4.2,2.4,5738,0,medium,0
3.5,3,2,5,4.2,76,274,2,3,3,4.2,2.6,5017,0,low,0
3.5,2,3,3,4.2,77,189,2,2,3,4.2,2.6,4567,0,low,1
3.5,2,4,3,4.2,75,261,4,4,2,4.6,2.4,5731,0,medium,0
1.8,1,1,4,4.2,78,220,2,2,2,4.2,2.2,2368,0,medium,0
3.5,4,3,5,4.2,76,165,3,3,4,4.2,4.4,5598,0,medium,0
3.5,4,3,3,4.2,70,151,2,3,3,4.2,3.2,5297,0,medium,0
3.5,4,2,4,4.2,79,158,3,3,3,4.6,2.6,4078,0,medium,1
3.5,1,1,6,1.8,85,279,2,4,2,4.2,2.0,1263,1,low,0
1.8,2,1,4,4.2,80,232,1,2,1,4.2,2.0,2526,0,low,0
3.5,3,2,4,4.2,77,223,2,3,3,4.2,3.8,4832,0,low,0
3.5,2,1,5,1.8,86,229,2,5,2,4.6,3.0,1069,1,low,0
3.8,2,2,4,4.2,90,178,1,2,2,2.4,2.2,1647,0,low,0
3.5,4,3,4,4.2,79,243,3,3,2,4.2,2.8,5703,0,low,0
