Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company
Warehouse,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,1.0,5,263,5,0,0,medium,1,5,4,3,4,1,2,1,1,1,2,1,1,1,4,1,1,2,1,1114,90,6,1
Operations,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.52,2,143,3,0,0,medium,16,5,5,1,1,2,2,1,1,1,4,1,4,5,4,2,4,2,1,7686,66,8,1
Warehouse,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.6,2,122,2,0,0,low,32,4,5,3,1,1,2,1,1,1,1,1,4,4,3,2,3,3,3,1213,75,8,0
Sales,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,3,206,3,1,0,medium,39,5,5,5,3,2,2,2,2,1,5,2,5,3,2,1,2,4,5,2929,80,9,0
IT,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,2,160,3,0,0,medium,53,4,4,3,3,1,2,2,1,2,5,1,4,2,1,1,3,4,2,1305,61,7,0
Sales,Level 2-4,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,4,135,2,0,0,medium,53,3,4,2,5,1,1,2,1,2,5,1,3,4,2,1,3,1,4,1073,87,7,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,0.98,4,233,5,0,0,low,5,3,4,3,3,2,1,2,2,2,4,2,5,5,4,2,2,1,2,1799,90,6,1
Operations,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,4,267,4,0,0,medium,2,1,4,5,4,2,4,4,4,2,5,3,4,1,5,1,2,3,2,4024,77,1,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,4,157,2,0,0,medium,7,1,3,4,5,2,4,2,4,2,2,3,4,5,2,1,2,4,2,4690,79,8,0
Sales,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.76,5,174,3,0,0,low,10,1,3,4,2,4,2,3,3,4,1,2,3,2,5,5,2,5,5,4008,78,3,0
IT,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,4,155,3,0,0,low,5,1,1,2,4,2,2,3,3,4,5,2,1,2,4,1,4,1,1,4283,78,7,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,5,226,2,0,0,high,6,3,2,4,4,4,2,2,2,3,1,3,2,4,1,1,3,3,2,5033,75,2,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.94,6,286,4,0,0,medium,1,4,1,1,5,1,1,2,2,2,1,2,1,3,5,2,1,2,5,1570,88,4,1
Finance,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,5,266,3,0,0,low,8,1,1,2,1,2,4,3,3,3,4,3,2,4,5,2,2,1,1,4786,79,9,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.81,6,245,4,0,0,low,8,2,1,2,3,1,1,2,1,2,3,1,5,1,4,2,5,5,1,1904,87,4,1
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,6,217,4,1,1,medium,4,4,1,4,5,4,2,4,3,4,5,3,5,3,5,2,1,2,2,4247,77,7,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,3,271,3,0,0,low,2,5,1,5,2,4,4,3,2,4,4,2,1,3,2,1,5,1,4,5229,78,6,0
Finance,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,4,274,2,1,0,low,1,3,2,4,5,3,2,3,3,3,3,4,2,4,5,1,3,2,4,4762,75,5,0
Operations,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.87,6,257,4,0,0,medium,2,2,5,4,1,2,1,2,2,2,1,2,3,3,2,1,3,4,1,1012,85,2,1
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.76,5,198,3,0,0,low,6,3,4,4,1,4,3,3,2,4,3,4,1,5,3,1,5,3,3,5061,80,7,0
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.81,6,301,4,1,0,medium,2,5,3,2,2,2,1,1,2,1,5,1,3,3,4,2,5,2,3,1943,85,1,1
Finance,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,4,271,3,0,0,low,12,1,2,4,2,2,1,1,2,1,3,1,3,5,3,1,1,5,1,3195,79,8,0
Warehouse,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.84,4,173,3,0,0,low,4,1,2,2,4,2,3,2,3,4,3,3,2,1,5,1,2,1,4,4634,73,5,0
Sales,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.92,3,199,3,1,0,low,8,2,5,5,5,2,4,2,3,4,4,4,4,3,3,1,5,2,3,5431,79,2,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,4,223,3,0,0,low,10,3,4,2,5,4,2,2,3,4,5,4,1,3,1,2,5,4,2,5560,79,6,0
IT,Senior Manager,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,3,192,2,0,0,medium,5,5,2,1,1,1,1,2,1,2,5,1,3,3,2,1,3,4,3,2339,89,7,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.55,3,206,4,0,0,low,18,4,5,2,5,1,2,1,2,1,2,1,2,4,4,1,5,4,5,3619,75,9,0
Operations,Level 1,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.7,4,237,4,0,0,medium,22,1,3,2,5,1,2,2,2,1,4,2,3,1,3,1,2,5,5,2231,76,7,0
IT,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,3,217,3,0,0,low,9,5,2,1,1,2,2,2,3,2,4,4,3,3,3,2,1,4,3,4306,79,1,0
Operations,Director,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.75,4,166,2,0,0,low,6,1,5,1,1,2,4,2,3,4,3,4,5,4,2,1,3,2,4,5737,80,5,0
Finance,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,5,247,3,0,0,low,39,1,5,5,1,2,1,1,2,2,3,2,1,1,3,1,5,2,4,2524,79,6,0
Operations,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.4,5,125,4,0,0,low,55,2,5,4,3,2,2,2,1,2,5,1,5,1,2,2,2,1,1,1685,90,10,0
Human Resources,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,3,274,4,1,1,medium,7,3,4,5,1,5,3,4,2,3,5,3,1,5,3,1,2,5,4,4828,78,1,0
Human Resources,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,156,3,1,0,low,35,4,3,4,3,2,1,1,2,1,2,2,2,3,5,1,2,4,3,1539,61,8,1
Finance,Senior Manager,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.64,3,180,2,1,0,low,33,5,3,2,5,1,2,1,2,2,2,1,3,3,2,1,3,2,5,1444,86,8,0
IT,Level 1,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.66,5,157,2,0,0,low,32,2,5,3,4,1,1,2,1,1,1,2,2,4,5,1,2,5,3,1497,90,8,0
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,5,194,4,0,0,low,9,3,5,5,3,3,4,2,3,2,5,4,3,1,2,4,4,1,2,5851,74,3,0
Finance,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.51,2,137,3,0,0,medium,57,2,5,3,5,2,2,1,2,1,5,1,1,3,5,2,2,2,1,8308,64,8,1
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.54,2,156,3,0,0,low,57,5,1,3,2,2,2,1,2,2,1,1,2,2,5,1,2,3,4,1161,72,9,1
Finance,Manager,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,3,208,4,0,0,medium,12,5,4,1,4,1,2,1,1,1,2,1,5,4,1,2,5,5,5,3181,80,8,0
Operations,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.5,2,128,3,0,0,low,35,5,5,4,5,2,1,2,2,2,2,2,1,3,5,2,3,3,5,1210,61,8,1
Operations,Level 2-4,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.62,4,247,4,0,0,low,16,3,2,2,5,2,1,2,2,2,5,1,2,2,1,1,5,1,2,2362,76,10,0
IT,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.61,3,134,4,0,0,medium,53,4,5,5,4,2,1,1,2,1,1,1,4,4,2,2,2,5,3,1887,69,6,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.85,4,257,2,0,0,medium,5,5,1,3,1,3,4,2,3,3,2,4,5,1,5,1,2,1,3,4127,80,2,0
IT,Level 2-4,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,4,161,4,1,0,low,14,4,2,2,1,2,1,2,2,1,1,1,2,1,5,1,5,5,1,1194,89,8,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.99,3,233,4,0,0,low,9,5,4,2,3,3,3,2,2,3,1,2,4,2,4,2,2,1,3,4541,77,4,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,6,204,4,1,0,medium,2,2,3,2,5,4,4,2,4,3,2,4,1,1,1,2,2,3,3,4431,79,1,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.74,4,129,6,0,0,medium,5,3,1,1,4,4,4,2,4,2,4,2,4,5,1,1,4,1,4,5626,78,4,0
Sales,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,5,250,5,0,0,low,12,3,2,1,1,2,2,2,2,1,1,1,1,4,5,2,1,4,1,2722,77,9,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,4,197,2,0,0,medium,3,2,4,5,1,3,3,4,2,4,2,4,4,2,3,1,2,3,1,4715,80,6,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.96,6,211,6,1,0,low,3,5,3,3,1,2,4,2,3,4,3,4,1,2,1,2,2,2,3,4957,79,1,0
Warehouse,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.49,4,174,3,0,0,medium,15,4,5,2,5,2,1,1,1,1,1,2,2,5,1,2,3,1,3,1060,87,6,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.93,4,250,5,0,0,medium,6,5,1,4,4,2,2,1,1,2,2,1,2,1,5,1,4,3,2,1662,87,5,1
Finance,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.49,5,210,3,0,0,high,20,4,5,3,1,2,2,1,2,1,5,1,5,2,1,2,3,5,5,3136,75,10,0
Warehouse,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.87,3,208,2,0,0,high,1,2,5,1,4,3,3,3,3,2,3,2,1,3,5,1,2,3,4,4999,76,4,0
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.9,6,301,4,0,0,low,4,5,4,2,1,2,1,1,2,2,5,1,1,5,1,2,5,2,4,1707,87,6,1
Operations,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.73,4,171,4,0,0,medium,4,5,1,3,1,3,3,4,4,2,2,2,4,3,5,1,5,4,5,4151,76,5,0
Human Resources,Manager,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.65,4,210,2,0,0,medium,7,1,4,4,2,1,2,1,2,2,5,1,5,5,5,2,5,5,1,3405,79,6,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.83,3,170,3,0,0,low,7,3,1,4,2,2,4,3,3,3,1,4,2,4,1,1,5,1,4,5427,80,8,0
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.91,5,211,3,0,0,low,9,4,5,3,4,2,2,3,3,3,2,4,5,1,3,5,2,2,4,4908,76,4,0
Finance,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.52,4,173,2,0,0,medium,63,4,1,4,1,2,2,2,2,2,1,1,4,5,5,2,4,3,1,1171,88,6,0
Finance,Director,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,4,197,3,0,0,low,34,5,3,5,4,1,2,2,1,2,5,1,2,4,4,1,2,1,1,3784,88,6,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.65,4,224,2,0,0,high,31,4,5,5,3,2,1,1,2,2,2,2,5,5,4,1,2,3,2,2084,76,8,0
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.9,3,241,3,0,0,low,4,5,4,4,2,4,4,3,2,4,5,3,3,2,3,1,2,1,1,4132,79,2,0
Sales,Senior Manager,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.65,4,202,4,1,0,low,1,2,4,4,4,1,2,2,2,2,5,2,5,5,5,1,5,3,3,3602,78,9,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.95,5,236,5,0,0,low,1,4,4,1,3,1,1,2,2,2,4,1,5,3,1,1,5,2,4,1682,88,1,1
Finance,Director,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,3,209,3,0,0,low,20,1,3,1,3,2,2,1,1,2,1,1,3,4,1,2,4,3,3,3181,80,8,0
Sales,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,4,188,6,0,0,low,41,3,3,1,1,1,2,2,1,2,3,1,4,5,1,1,1,2,1,3442,85,10,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.81,6,260,4,0,0,medium,9,1,3,3,1,2,1,2,2,2,5,1,4,1,3,2,5,4,5,1698,90,9,1
Finance,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.55,2,127,3,0,0,medium,19,3,3,2,1,1,2,1,2,2,2,1,3,4,1,2,1,2,1,6503,70,8,1
Operations,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,3,196,3,0,0,low,4,3,3,4,5,4,3,3,2,3,3,4,3,2,1,2,2,1,3,5622,75,4,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.54,2,151,3,0,0,low,12,3,4,1,3,1,1,2,2,1,1,2,3,5,4,1,3,2,3,1619,75,6,1
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,3,179,3,0,0,medium,52,3,3,4,1,1,1,1,1,1,1,2,1,4,1,1,2,5,3,1158,70,6,0
Human Resources,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.92,3,203,10,0,0,medium,1,5,3,4,5,4,2,4,2,4,3,3,2,3,5,2,4,1,1,4996,77,5,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,0.97,6,267,4,1,0,low,9,1,2,2,3,2,1,1,1,2,2,2,5,5,1,5,4,5,5,1146,88,6,1
Human Resources,Level 2-4,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.67,3,270,2,0,0,medium,59,2,5,3,2,1,1,1,2,1,1,1,5,3,4,2,4,2,1,3706,79,9,0
Finance,Level 1,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.64,4,201,10,1,0,medium,37,1,2,4,4,2,1,2,2,1,5,1,2,2,3,1,4,4,1,3402,76,9,0
Finance,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.96,6,280,4,0,0,low,5,1,5,4,4,1,1,1,2,2,4,1,5,2,1,4,1,5,2,1624,86,3,1
Human Resources,Level 2-4,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.62,3,283,5,0,0,low,50,5,5,1,5,1,2,1,1,1,3,1,5,3,4,1,3,5,1,2848,76,6,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.78,6,245,4,0,0,low,8,5,1,3,5,1,2,1,1,2,5,2,3,2,3,2,2,4,3,1403,89,5,1
Operations,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.42,6,173,7,0,0,medium,9,4,5,1,4,2,2,1,2,1,4,1,1,4,5,1,1,3,4,1567,88,7,0
Warehouse,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.85,6,266,4,0,0,low,9,3,5,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1876,90,3,1
Sales,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.83,4,162,3,0,0,low,4,3,2,4,4,2,2,3,2,4,5,3,1,5,2,2,3,1,2,5913,79,9,0
Human Resources,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,4,255,2,0,0,high,47,3,4,3,2,1,2,2,1,2,3,1,2,1,3,1,4,1,4,2956,80,9,0
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.47,4,151,6,0,0,medium,6,4,4,1,4,2,1,2,2,1,5,2,1,5,4,1,5,1,3,1755,88,10,0
Operations,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,130,3,0,0,low,61,2,1,5,1,1,1,2,1,2,3,1,5,2,2,2,5,1,3,1805,74,6,1
Operations,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.51,2,152,3,0,0,medium,22,4,2,5,2,1,2,1,1,1,1,1,3,3,3,1,2,4,4,6753,69,8,1
Operations,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.43,3,120,6,1,0,medium,8,3,5,5,2,2,2,1,1,5,1,4,5,4,4,2,5,4,3,1900,62,10,0
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.81,5,200,3,0,0,low,6,5,5,1,3,2,2,2,2,3,5,4,1,4,4,2,4,2,3,4401,88,6,0
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.85,3,232,4,0,0,medium,3,3,4,3,3,2,3,4,3,4,5,3,1,5,1,2,3,3,3,5828,78,2,0
Operations,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.84,5,228,3,0,0,medium,8,5,3,2,4,2,3,2,2,4,2,3,3,2,2,1,1,2,1,4731,77,9,0
Sales,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.93,3,225,4,0,0,low,10,1,1,4,5,3,4,2,3,3,1,4,1,1,3,1,2,4,4,4080,77,8,0
IT,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.79,6,291,4,0,0,low,8,2,4,3,4,2,1,1,2,1,4,2,4,5,1,1,2,3,1,1019,85,1,1
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.61,3,140,3,0,0,low,30,5,4,4,2,2,1,1,1,1,4,2,1,2,1,1,5,5,5,1035,75,7,0
Operations,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,158,3,0,0,low,44,5,2,4,3,2,1,2,2,1,4,2,1,4,5,1,2,3,3,1682,68,6,1
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,0.97,6,247,4,0,0,medium,3,2,5,3,1,1,2,2,2,2,2,2,2,1,5,1,2,4,2,1118,86,1,1
Warehouse,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.5,4,254,4,0,0,low,55,4,4,5,4,2,2,2,2,2,2,1,1,3,3,2,2,5,2,1866,90,8,1
Sales,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.48,4,185,2,0,0,low,20,4,1,4,2,2,2,1,2,1,3,2,5,4,3,2,1,4,5,2368,88,10,0
Human Resources,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,5,151,5,0,0,low,1,4,2,2,5,3,3,2,3,2,3,4,2,1,5,1,2,3,1,4122,71,5,0
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,3,269,3,0,0,medium,9,4,5,5,5,4,4,4,2,1,1,1,5,1,3,1,3,2,1,5133,77,7,0
Operations,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.49,4,256,3,1,0,low,33,3,1,5,4,2,2,2,2,1,3,1,4,4,2,1,5,2,2,2150,79,8,0
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,4,210,3,0,0,low,9,2,5,5,1,4,3,3,2,2,5,3,3,3,5,1,1,2,3,4102,79,8,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.96,4,246,3,0,0,low,7,4,1,4,4,3,4,2,3,2,4,2,1,2,4,2,1,4,2,4090,75,3,0
Human Resources,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,4,266,3,1,0,medium,4,5,3,1,5,3,4,3,3,4,5,2,3,5,3,1,2,5,5,5928,77,9,0
Human Resources,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.42,2,109,6,0,0,low,24,4,4,4,3,1,1,1,2,4,2,4,2,5,5,2,3,4,4,1521,60,9,0
Operations,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.56,4,214,3,0,1,medium,31,4,4,3,5,4,5,1,1,1,3,1,3,4,2,2,3,5,1,3406,78,7,0
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,3,260,3,0,0,medium,2,2,3,2,5,2,2,2,1,1,5,1,5,4,3,2,2,5,1,2176,77,6,0
Human Resources,VP,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.84,7,133,5,0,0,low,3,5,3,5,5,1,1,2,1,1,5,1,2,3,3,1,4,1,2,1544,86,8,1
Operations,VP,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,4,134,2,0,0,low,2,3,3,4,3,4,3,2,2,3,4,4,4,2,2,1,1,3,1,4522,75,2,0
Finance,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,4,166,3,0,0,medium,8,2,5,5,2,4,2,4,2,2,3,2,3,3,1,1,5,2,4,4758,80,5,0
Operations,Director,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.55,4,167,5,0,0,medium,18,2,1,2,1,2,2,1,2,2,2,1,1,5,2,1,2,4,4,1587,85,8,0
Operations,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.86,3,221,2,0,0,medium,6,1,2,2,1,3,2,4,2,3,1,4,5,5,3,1,4,1,2,5267,79,4,0
